x,y,Section Label ,Label Value
0,123,void dire,17
0,122,void dire,17
0,121,void dire,17
0,120,void dire,17
0,119,void dire,17
0,118,void dire,17
0,117,void dire,17
0,116,void dire,17
0,115,void dire,17
0,114,void dire,17
0,113,void dire,17
0,112,void dire,17
0,111,void dire,17
0,110,void dire,17
0,109,void dire,17
0,108,void dire,17
0,107,void dire,17
0,106,void dire,17
0,105,void dire,17
0,104,void dire,17
0,103,void dire,17
0,102,void dire,17
0,101,void dire,17
0,100,void dire,17
0,99,void dire,17
0,98,void dire,17
0,97,void dire,17
0,96,void dire,17
0,95,void dire,17
0,94,void dire,17
0,93,void dire,17
0,92,void dire,17
0,91,void dire,17
0,90,void dire,17
0,89,void dire,17
0,88,void dire,17
0,87,void dire,17
0,86,void dire,17
0,85,void dire,17
0,84,void dire,17
0,83,void dire,17
0,82,void dire,17
0,81,void dire,17
0,80,void dire,17
0,79,void radiant,18
0,78,void radiant,18
0,77,void radiant,18
0,76,void radiant,18
0,75,void radiant,18
0,74,void radiant,18
0,73,void radiant,18
0,72,void radiant,18
0,71,void radiant,18
0,70,void radiant,18
0,69,void radiant,18
0,68,void radiant,18
0,67,void radiant,18
0,66,void radiant,18
0,65,void radiant,18
0,64,void radiant,18
0,63,void radiant,18
0,62,void radiant,18
0,61,void radiant,18
0,60,void radiant,18
0,59,void radiant,18
0,58,void radiant,18
0,57,void radiant,18
0,56,void radiant,18
0,55,void radiant,18
0,54,void radiant,18
0,53,void radiant,18
0,52,void radiant,18
0,51,void radiant,18
0,50,void radiant,18
0,49,void radiant,18
0,48,void radiant,18
0,47,void radiant,18
0,46,void radiant,18
0,45,void radiant,18
0,44,void radiant,18
0,43,void radiant,18
0,42,void radiant,18
0,41,void radiant,18
0,40,void radiant,18
0,39,void radiant,18
0,38,void radiant,18
0,37,void radiant,18
0,36,void radiant,18
0,35,void radiant,18
0,34,void radiant,18
0,33,void radiant,18
0,32,void radiant,18
0,31,void radiant,18
0,30,void radiant,18
0,29,void radiant,18
0,28,void radiant,18
0,27,void radiant,18
0,26,void radiant,18
0,25,void radiant,18
0,24,void radiant,18
0,23,void radiant,18
0,22,void radiant,18
0,21,void radiant,18
0,20,void radiant,18
0,19,void radiant,18
0,18,void radiant,18
0,17,void radiant,18
0,16,void radiant,18
0,15,void radiant,18
0,14,void radiant,18
0,13,void radiant,18
0,12,void radiant,18
0,11,void radiant,18
0,10,void radiant,18
0,9,void radiant,18
0,8,void radiant,18
0,7,void radiant,18
0,6,void radiant,18
0,5,void radiant,18
0,4,void radiant,18
0,3,void radiant,18
0,2,void radiant,18
0,1,void radiant,18
0,0,void radiant,18
1,123,void dire,17
1,122,void dire,17
1,121,void dire,17
1,120,void dire,17
1,119,void dire,17
1,118,void dire,17
1,117,void dire,17
1,116,void dire,17
1,115,void dire,17
1,114,void dire,17
1,113,void dire,17
1,112,void dire,17
1,111,void dire,17
1,110,void dire,17
1,109,void dire,17
1,108,void dire,17
1,107,void dire,17
1,106,void dire,17
1,105,void dire,17
1,104,void dire,17
1,103,void dire,17
1,102,void dire,17
1,101,void dire,17
1,100,void dire,17
1,99,void dire,17
1,98,void dire,17
1,97,void dire,17
1,96,void dire,17
1,95,void dire,17
1,94,void dire,17
1,93,void dire,17
1,92,void dire,17
1,91,void dire,17
1,90,void dire,17
1,89,void dire,17
1,88,void dire,17
1,87,void dire,17
1,86,void dire,17
1,85,void dire,17
1,84,void dire,17
1,83,void dire,17
1,82,void dire,17
1,81,void dire,17
1,80,void dire,17
1,79,void radiant,18
1,78,void radiant,18
1,77,void radiant,18
1,76,void radiant,18
1,75,void radiant,18
1,74,void radiant,18
1,73,void radiant,18
1,72,void radiant,18
1,71,void radiant,18
1,70,void radiant,18
1,69,void radiant,18
1,68,void radiant,18
1,67,void radiant,18
1,66,void radiant,18
1,65,void radiant,18
1,64,void radiant,18
1,63,void radiant,18
1,62,void radiant,18
1,61,void radiant,18
1,60,void radiant,18
1,59,void radiant,18
1,58,void radiant,18
1,57,void radiant,18
1,56,void radiant,18
1,55,void radiant,18
1,54,void radiant,18
1,53,void radiant,18
1,52,void radiant,18
1,51,void radiant,18
1,50,void radiant,18
1,49,void radiant,18
1,48,void radiant,18
1,47,void radiant,18
1,46,void radiant,18
1,45,void radiant,18
1,44,void radiant,18
1,43,void radiant,18
1,42,void radiant,18
1,41,void radiant,18
1,40,void radiant,18
1,39,void radiant,18
1,38,void radiant,18
1,37,void radiant,18
1,36,void radiant,18
1,35,void radiant,18
1,34,void radiant,18
1,33,void radiant,18
1,32,void radiant,18
1,31,void radiant,18
1,30,void radiant,18
1,29,void radiant,18
1,28,void radiant,18
1,27,void radiant,18
1,26,void radiant,18
1,25,void radiant,18
1,24,void radiant,18
1,23,void radiant,18
1,22,void radiant,18
1,21,void radiant,18
1,20,void radiant,18
1,19,void radiant,18
1,18,void radiant,18
1,17,void radiant,18
1,16,void radiant,18
1,15,void radiant,18
1,14,void radiant,18
1,13,void radiant,18
1,12,void radiant,18
1,11,void radiant,18
1,10,void radiant,18
1,9,void radiant,18
1,8,void radiant,18
1,7,void radiant,18
1,6,void radiant,18
1,5,void radiant,18
1,4,void radiant,18
1,3,void radiant,18
1,2,void radiant,18
1,1,void radiant,18
1,0,void radiant,18
2,123,void dire,17
2,122,void dire,17
2,121,void dire,17
2,120,void dire,17
2,119,void dire,17
2,118,void dire,17
2,117,void dire,17
2,116,void dire,17
2,115,void dire,17
2,114,void dire,17
2,113,void dire,17
2,112,void dire,17
2,111,void dire,17
2,110,void dire,17
2,109,void dire,17
2,108,void dire,17
2,107,void dire,17
2,106,void dire,17
2,105,void dire,17
2,104,void dire,17
2,103,void dire,17
2,102,void dire,17
2,101,void dire,17
2,100,void dire,17
2,99,void dire,17
2,98,void dire,17
2,97,void dire,17
2,96,void dire,17
2,95,void dire,17
2,94,void dire,17
2,93,void dire,17
2,92,void dire,17
2,91,void dire,17
2,90,void dire,17
2,89,void dire,17
2,88,void dire,17
2,87,void dire,17
2,86,void dire,17
2,85,void dire,17
2,84,void dire,17
2,83,void dire,17
2,82,void dire,17
2,81,void dire,17
2,80,void dire,17
2,79,void radiant,18
2,78,void radiant,18
2,77,void radiant,18
2,76,void radiant,18
2,75,void radiant,18
2,74,void radiant,18
2,73,void radiant,18
2,72,void radiant,18
2,71,void radiant,18
2,70,void radiant,18
2,69,void radiant,18
2,68,void radiant,18
2,67,void radiant,18
2,66,void radiant,18
2,65,void radiant,18
2,64,void radiant,18
2,63,void radiant,18
2,62,void radiant,18
2,61,void radiant,18
2,60,void radiant,18
2,59,void radiant,18
2,58,void radiant,18
2,57,void radiant,18
2,56,void radiant,18
2,55,void radiant,18
2,54,void radiant,18
2,53,void radiant,18
2,52,void radiant,18
2,51,void radiant,18
2,50,void radiant,18
2,49,void radiant,18
2,48,void radiant,18
2,47,void radiant,18
2,46,void radiant,18
2,45,void radiant,18
2,44,void radiant,18
2,43,void radiant,18
2,42,void radiant,18
2,41,void radiant,18
2,40,void radiant,18
2,39,void radiant,18
2,38,void radiant,18
2,37,void radiant,18
2,36,void radiant,18
2,35,void radiant,18
2,34,void radiant,18
2,33,void radiant,18
2,32,void radiant,18
2,31,void radiant,18
2,30,void radiant,18
2,29,void radiant,18
2,28,void radiant,18
2,27,void radiant,18
2,26,void radiant,18
2,25,void radiant,18
2,24,void radiant,18
2,23,void radiant,18
2,22,void radiant,18
2,21,void radiant,18
2,20,void radiant,18
2,19,void radiant,18
2,18,void radiant,18
2,17,void radiant,18
2,16,void radiant,18
2,15,void radiant,18
2,14,void radiant,18
2,13,void radiant,18
2,12,void radiant,18
2,11,void radiant,18
2,10,void radiant,18
2,9,void radiant,18
2,8,void radiant,18
2,7,void radiant,18
2,6,void radiant,18
2,5,void radiant,18
2,4,void radiant,18
2,3,void radiant,18
2,2,void radiant,18
2,1,void radiant,18
2,0,void radiant,18
3,123,void dire,17
3,122,void dire,17
3,121,void dire,17
3,120,void dire,17
3,119,void dire,17
3,118,void dire,17
3,117,void dire,17
3,116,void dire,17
3,115,void dire,17
3,114,void dire,17
3,113,void dire,17
3,112,void dire,17
3,111,void dire,17
3,110,void dire,17
3,109,void dire,17
3,108,void dire,17
3,107,void dire,17
3,106,void dire,17
3,105,void dire,17
3,104,void dire,17
3,103,void dire,17
3,102,void dire,17
3,101,void dire,17
3,100,void dire,17
3,99,void dire,17
3,98,void dire,17
3,97,void dire,17
3,96,void dire,17
3,95,void dire,17
3,94,void dire,17
3,93,void dire,17
3,92,void dire,17
3,91,void dire,17
3,90,void dire,17
3,89,void dire,17
3,88,void dire,17
3,87,void dire,17
3,86,void dire,17
3,85,void dire,17
3,84,void dire,17
3,83,void dire,17
3,82,void dire,17
3,81,void dire,17
3,80,void dire,17
3,79,void radiant,18
3,78,void radiant,18
3,77,void radiant,18
3,76,void radiant,18
3,75,void radiant,18
3,74,void radiant,18
3,73,void radiant,18
3,72,void radiant,18
3,71,void radiant,18
3,70,void radiant,18
3,69,void radiant,18
3,68,void radiant,18
3,67,void radiant,18
3,66,void radiant,18
3,65,void radiant,18
3,64,void radiant,18
3,63,void radiant,18
3,62,void radiant,18
3,61,void radiant,18
3,60,void radiant,18
3,59,void radiant,18
3,58,void radiant,18
3,57,void radiant,18
3,56,void radiant,18
3,55,void radiant,18
3,54,void radiant,18
3,53,void radiant,18
3,52,void radiant,18
3,51,void radiant,18
3,50,void radiant,18
3,49,void radiant,18
3,48,void radiant,18
3,47,void radiant,18
3,46,void radiant,18
3,45,void radiant,18
3,44,void radiant,18
3,43,void radiant,18
3,42,void radiant,18
3,41,void radiant,18
3,40,void radiant,18
3,39,void radiant,18
3,38,void radiant,18
3,37,void radiant,18
3,36,void radiant,18
3,35,void radiant,18
3,34,void radiant,18
3,33,void radiant,18
3,32,void radiant,18
3,31,void radiant,18
3,30,void radiant,18
3,29,void radiant,18
3,28,void radiant,18
3,27,void radiant,18
3,26,void radiant,18
3,25,void radiant,18
3,24,void radiant,18
3,23,void radiant,18
3,22,void radiant,18
3,21,void radiant,18
3,20,void radiant,18
3,19,void radiant,18
3,18,void radiant,18
3,17,void radiant,18
3,16,void radiant,18
3,15,void radiant,18
3,14,void radiant,18
3,13,void radiant,18
3,12,void radiant,18
3,11,void radiant,18
3,10,void radiant,18
3,9,void radiant,18
3,8,void radiant,18
3,7,void radiant,18
3,6,void radiant,18
3,5,void radiant,18
3,4,void radiant,18
3,3,void radiant,18
3,2,void radiant,18
3,1,void radiant,18
3,0,void radiant,18
4,123,void dire,17
4,122,void dire,17
4,121,void dire,17
4,120,void dire,17
4,119,void dire,17
4,118,void dire,17
4,117,void dire,17
4,116,void dire,17
4,115,void dire,17
4,114,void dire,17
4,113,void dire,17
4,112,void dire,17
4,111,void dire,17
4,110,void dire,17
4,109,void dire,17
4,108,void dire,17
4,107,void dire,17
4,106,void dire,17
4,105,void dire,17
4,104,void dire,17
4,103,void dire,17
4,102,void dire,17
4,101,void dire,17
4,100,void dire,17
4,99,void dire,17
4,98,void dire,17
4,97,void dire,17
4,96,void dire,17
4,95,void dire,17
4,94,void dire,17
4,93,void dire,17
4,92,void dire,17
4,91,void dire,17
4,90,void dire,17
4,89,void dire,17
4,88,void dire,17
4,87,void dire,17
4,86,void dire,17
4,85,void dire,17
4,84,void dire,17
4,83,void dire,17
4,82,void dire,17
4,81,void dire,17
4,80,void dire,17
4,79,void radiant,18
4,78,void radiant,18
4,77,void radiant,18
4,76,void radiant,18
4,75,void radiant,18
4,74,void radiant,18
4,73,void radiant,18
4,72,void radiant,18
4,71,void radiant,18
4,70,void radiant,18
4,69,void radiant,18
4,68,void radiant,18
4,67,void radiant,18
4,66,void radiant,18
4,65,void radiant,18
4,64,void radiant,18
4,63,void radiant,18
4,62,void radiant,18
4,61,void radiant,18
4,60,void radiant,18
4,59,void radiant,18
4,58,void radiant,18
4,57,void radiant,18
4,56,void radiant,18
4,55,void radiant,18
4,54,void radiant,18
4,53,void radiant,18
4,52,void radiant,18
4,51,void radiant,18
4,50,void radiant,18
4,49,void radiant,18
4,48,void radiant,18
4,47,void radiant,18
4,46,void radiant,18
4,45,void radiant,18
4,44,void radiant,18
4,43,void radiant,18
4,42,void radiant,18
4,41,void radiant,18
4,40,void radiant,18
4,39,void radiant,18
4,38,void radiant,18
4,37,void radiant,18
4,36,void radiant,18
4,35,void radiant,18
4,34,void radiant,18
4,33,void radiant,18
4,32,void radiant,18
4,31,void radiant,18
4,30,void radiant,18
4,29,void radiant,18
4,28,void radiant,18
4,27,void radiant,18
4,26,void radiant,18
4,25,void radiant,18
4,24,void radiant,18
4,23,void radiant,18
4,22,void radiant,18
4,21,void radiant,18
4,20,void radiant,18
4,19,void radiant,18
4,18,void radiant,18
4,17,void radiant,18
4,16,void radiant,18
4,15,void radiant,18
4,14,void radiant,18
4,13,void radiant,18
4,12,void radiant,18
4,11,void radiant,18
4,10,void radiant,18
4,9,void radiant,18
4,8,void radiant,18
